folio,direccioncomuna,zona_hogar,sector_hogar,diaentrevista,mesentrevista,horaentrevista,minutoentrevista,diaregistroviaje,mesregistroviaje,tamanofamiliar,tipovivienda,situacionvivienda,dividendo,arriendo,antiguedadviviendaanos,antiguedadviviendameses,hanvividosiempreaqui,tipoviviendaanterior,comunaviviendaanterior,comunaviviendaanterior_e,visionbicicleta,integrantecapred,capredtipo,capredsuficiencia,cuentasinternet,disponibilidadvehiculo,numerovehiculos,disponibilidadbicicleta,numerobicicletas,numeroestudiantes,numeroviajes,viajescaminata,tramovehiculo,tramoingresohogar,tipodia,zona,sector,factorexpansionh,forma_pago_vivienda
10011,Puerto natales,1,Borde Costero,15,6,18,50,16,6,3,Casa,Propia (pagada),,,73,0,Si,Desconocido,Desconocido,Desconocido,Recreacion,Si,Fisica,No,"Si, todas",Si,1,No,No aplica,0,4,4,1 Vehiculo,Ingreso Medio: entre $450.001 y $1.035.000,laboral,1,Borde Costero,"14,889",sin dato
10012,Puerto natales,1,Borde Costero,15,6,18,30,16,6,1,Casa,Propia (pagada),,,11,3,Si,Desconocido,Desconocido,Desconocido,Recreacion,No,No aplica,No aplica,"Si, todas",Si,1,No,No aplica,0,2,0,1 Vehiculo,No informa,laboral,1,Borde Costero,"5,489",sin dato
10021,Puerto natales,3,Centro,15,6,14,0,16,6,3,Casa,Propia (pagada),,,3,3,Si,Desconocido,Desconocido,Desconocido,Recreacion,No,No aplica,No aplica,"Si, todas",Si,1,Si,1,1,17,0,1 Vehiculo,Ingreso Bajo: entre 0 y $450.000,laboral,3,Centro,"7,85",sin dato
10022,Puerto natales,3,Centro,18,6,14,0,19,6,4,Casa,Propia (pagada),,,20,0,Si,Desconocido,Desconocido,Desconocido,Ambas,No,No aplica,No aplica,"Si, todas",Si,3,Si,3,0,2,2,3 o mas Vehiculos,Ingreso Alto: mayor a $1.035.001,Fin de semana,3,Centro,"16,558",sin dato
10031,Puerto natales,7,Residencial Norte,17,5,20,0,18,5,5,Casa,Propia (pagada),,,6,2,Si,Desconocido,Desconocido,Desconocido,Recreacion,No,No aplica,No aplica,"Si, todas",Si,2,No,No aplica,3,34,0,2 Vehiculos,Ingreso Alto: mayor a $1.035.001,laboral,7,Residencial Norte,"24,803",sin dato
10032,Puerto natales,7,Residencial Norte,18,5,20,0,19,5,2,Casa,Propia (pagada),,,19,0,Si,Desconocido,Desconocido,Desconocido,Ambas,No,No aplica,No aplica,"Si, todas",Si,1,Si,2,0,4,0,1 Vehiculo,Ingreso Medio: entre $450.001 y $1.035.000,laboral,7,Residencial Norte,"8,51",sin dato
10041,Puerto natales,7,Residencial Norte,6,8,13,0,7,8,5,Casa,Propia (pagada),,,10,2,Si,Desconocido,Desconocido,Desconocido,Ambas,No,No aplica,No aplica,"Si, todas",Si,2,Si,1,1,2,0,2 Vehiculos,Ingreso Alto: mayor a $1.035.001,Fin de semana,7,Residencial Norte,"24,803",sin dato
10042,Puerto natales,7,Residencial Norte,16,5,16,50,17,5,3,Casa,Propia (pagada),,,0,2,Si,Desconocido,Desconocido,Desconocido,Ambas,No,No aplica,No aplica,"Si, todas",Si,1,No,No aplica,1,8,6,1 Vehiculo,Ingreso Alto: mayor a $1.035.001,laboral,7,Residencial Norte,"14,933",sin dato
10051,Puerto natales,8,Residencial Norte,17,5,17,0,18,5,2,Casa,Propia (pagada),,,40,1,Si,Desconocido,Desconocido,Desconocido,Recreacion,Si,"Sensorial (auditiva, visual)",No,No,No,No aplica,No,No aplica,0,0,0,No disponible,Ingreso Medio: entre $450.001 y $1.035.000,laboral,8,Residencial Norte,"8,51",sin dato
10052,Puerto natales,8,Residencial Norte,18,5,18,50,19,5,1,Casa,Propia (pagada),,,50,3,Si,Desconocido,Desconocido,Desconocido,Ambas,No,No aplica,No aplica,No,No,No aplica,No,No aplica,0,2,2,No disponible,Ingreso Bajo: entre 0 y $450.000,laboral,8,Residencial Norte,"7,185",sin dato
