folio,ordenpersona,diaentrevista,mesentrevista,horaentrevista,minutoentrevista,sexo,parentesco,mesnacimiento,agnonacimiento,tenencialicenciaconducir,tenenciatne,tenenciatarjetaadultomayor,escolaridadcurso,escolaridadnivel,escolaridadtitulo,actividadtrabaja,actividadestudia,actividadjubilado,actividadduenacasa,actividadbuscatrabajo1vez,actividadcesante,actividadotro,actividadotro_e,ocupacionprincipal,actividadeconomica,jornadatrabajo,dondeestudia,lugartrabajocomuna,lugarestudiocomuna,realizoviaje,lugardiaregistroviaje,motivonoviaje,motivonoviaje_e,lugarcomienzodia,sector_lugariniciodia,horasalidahora,horasalidaminuto,numeroviajes,viajescaminata,numeroetapas,freqcaminata,freqprivado,freqbus,freqcolectivo,freqbicicleta,freqavion,comprascomuna,saludcomuna,saludcomunaesp,usotic,usotranspub,percepcioningresos,montoingresopersonal,tramoingresopersonal,montogastotransporte,conocimientocampana,campanadiario,campanaradio,campanatelevision,campanaafiche,campanapasacalle,campanapersonas,edad,tramoedad,ingresopersonal,factorexpansionp
10011,1,17,6,18,0,Hombre,Jefe(a) de hogar,3,1935,"Licencia profesional A1, A2, A3, A4, A5",No,No,8,Primarios (Basica o Preparatoria),Desconocido,No,No,Si,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por enfermedad,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Nunca,Semanal,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $245.001 y $395.000,20000,No,No,No,No,No,No,No,87,Mas de 65 años,272500.0,"6,988"
10011,2,17,6,18,10,Mujeres,Conyuge o Pareja,8,1944,No,No,No,8,Primarios (Basica o Preparatoria),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por enfermedad,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Nunca,Semanal,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Menos de $245.000,5000,No,No,No,No,No,No,No,77,Mas de 65 años,245000.0,"6,329"
10011,3,17,6,20,0,Mujeres,Hija o Hijo,6,1971,Licencia no profesional B,No,No aplica,2,Profesionales,Si,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector privado'],Comercio,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,9.0,50.0,4,4,4,Diario,Diario,Nunca,Nunca,Mensual,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $703.001 y $821.000,30000,Si,No,No,No,Si,No,No,51,De 30 a 64 años,469500.0,"8,531"
10012,1,17,6,17,0,Mujeres,Jefe(a) de hogar,1,1945,Licencia no profesional B,No,No,2,Profesionales,Si,No,No,Si,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,11.0,0.0,2,0,2,Diario,Diario,Nunca,Nunca,Nunca,Mensual,Si,No,Santiago,Si,No,"Si, tiene ingresos",Desconocido,No responde,60000,No,No,No,No,No,No,No,77,Mas de 65 años,Desconocido,"3,879"
10021,1,17,6,20,30,Mujeres,Jefe(a) de hogar,5,1986,Licencia no profesional B,No,No aplica,5,Universitarios completos,Si,Si,No,Si,No,No,No,No,No aplica,['Empleado u obrero del sector publico'],Sector Publico,Jornada parcial (menos de 40hrs semanales),No aplica,Puerto natales,Desconocido,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,40.0,11,0,11,Diario,Diario,Nunca,Nunca,Mensual,Anual,Si,No,Santiago,Si,No,"Si, tiene ingresos",Desconocido,No responde,200000,Si,No,No,No,Si,Si,No,36,De 30 a 64 años,Desconocido,"7,638"
10021,2,17,6,20,40,Mujeres,Otro familiar,9,1959,No,No,No,5,Universitarios completos,Si,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por trabajo domestico,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Semanal,Semanal,Nunca,Mensual,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,No responde,20000,No,No,No,No,No,No,No,62,De 30 a 64 años,Desconocido,"4,367"
10021,3,17,6,20,50,Hombre,Otro familiar,10,2006,No,No,No aplica,1,Secundarios (Media o Humanidades),Desconocido,No,Si,No,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,"Escuela, liceo, colegio",Desconocido,Puerto Natales,Si,Desconocido,No aplica,No aplica,En la direccion donde se realiza la encuesta,0,7.0,40.0,6,0,6,Diario,Diario,Nunca,Semanal,Semanal,Anual,Si,Si,Desconocido,Si,No,No tiene ingresos,Desconocido,No responde,5000,No,No,No,No,No,No,No,15,De 14 a 18 años,0.0,"7,179"
10022,1,20,6,18,0,Hombre,Jefe(a) de hogar,2,1970,Licencia no profesional B,No,No aplica,3,Secundarios (Media o Humanidades),Desconocido,No,No,Si,No,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por descanso,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Diario,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,No responde,30000,Si,No,Si,No,No,No,No,52,De 30 a 64 años,Desconocido,"9,21"
10022,2,20,6,18,10,Mujeres,Conyuge o Pareja,8,1964,Licencia no profesional B,No,No aplica,3,Secundarios (Media o Humanidades),Desconocido,No,No,No,Si,No,No,No,No aplica,Desconocido,Desconocido,No aplica,No aplica,Desconocido,Desconocido,No,En la direccion donde se realiza la encuesta,Por trabajo domestico,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Diario,Diario,Nunca,Nunca,Nunca,Anual,Si,Si,Desconocido,Si,No,No responde,Desconocido,No responde,0,No,No,No,No,No,No,No,57,De 30 a 64 años,Desconocido,"8,339"
10022,3,20,6,18,20,Hombre,Hija o Hijo,9,1990,Licencia no profesional B,No,No aplica,3,Profesionales,Si,Si,No,No,No,No,No,No,No aplica,['Empleado u obrero del sector publico'],Sector Publico,Jornada completa (40 hrs o mas semanales),No aplica,Puerto natales,Desconocido,No,En la direccion donde se realiza la encuesta,Por descanso,No aplica,Desconocido,0,Desconocido,Desconocido,,0,,Diario,Diario,Nunca,Nunca,Mensual,Anual,Si,Si,Desconocido,Si,No,"Si, tiene ingresos",Desconocido,Entre $703.001 y $821.000,40000,No,No,No,No,No,No,No,31,De 30 a 64 años,469500.0,"49,285"
