folio,ordenvehiculo,tipovehiculo,ordenconductor,marcavehiculo,anovehiculo,combustiblevehiculo,situacionvehiculo,vehiculotrabajo,factorexpansiona
10011,1,Auto,3,Suzuki,2022,Gasolina,Propia (del hogar),No,"10,476"
10012,1,Auto,1,Subaru,2018,Gasolina,Propia (del hogar),No,"10,476"
10021,1,Camioneta o vehiculo todo terreno,1,Uaz,2021,Gasolina,Propia (del hogar),No,"10,5"
10022,1,Motocicleta,1,Hyundai,2012,Diesel,Propia (del hogar),No,"10,5"
10022,2,Auto,3,Hyundai,2013,Gasolina,Propia (del hogar),No,"10,5"
10022,3,Van o minivan,1,Toyota,1992,Gasolina,Propia (del hogar),No,"10,5"
10031,1,Camioneta o vehiculo todo terreno,1,Chevrolet,2013,Gasolina,Propia (del hogar),Si,"11,122"
10031,2,Auto,2,Hyundai,2016,Diesel,Propia (del hogar),No,"11,122"
10032,1,Auto,1,Hyundai,2003,Diesel,Propia (del hogar),Si,"11,122"
10041,1,Auto,4,Toyota,2014,Gasolina,Propia (del hogar),No,"11,122"
10041,2,Auto,1,MG,2019,Gasolina,Propia (del hogar),No,"11,122"
10042,1,Auto,1,Mazda,2010,Gasolina,Propia (del hogar),No,"11,122"
10061,1,Auto,1,Kia,2004,Diesel,Propia (del hogar),No,"11,122"
10061,2,Auto,3,Kia,2005,Diesel,Propia (del hogar),No,"11,122"
10081,1,Auto,1,Chevrolet,2019,Gasolina,Propia (del hogar),No,"11,122"
10091,1,Camioneta o vehiculo todo terreno,2,Ford,2011,Diesel,Propia (del hogar),Si,"11,122"
10092,1,Camioneta o vehiculo todo terreno,1,Tata,2010,Diesel,Propia (del hogar),No,"11,122"
10101,1,Auto,1,Chevrolet,2011,Gasolina,Propia (del hogar),No,"10,476"
10111,1,Auto,2,Mercedes Benz,2002,Gasolina,Propia (del hogar),No,"10,476"
10111,2,Camioneta o vehiculo todo terreno,1,Chevrolet,2008,Gasolina,Propia (del hogar),No,"10,476"
10112,1,Camioneta o vehiculo todo terreno,1,Jac,2018,Gasolina,Propia (del hogar),No,"10,476"
10121,1,Camioneta o vehiculo todo terreno,2,Chery,2019,Gasolina,Propia (del hogar),No,"10,5"
10131,1,Camioneta o vehiculo todo terreno,2,Toyota,2021,Gasolina,Propia (del hogar),No,"10,5"
10131,2,Camioneta o vehiculo todo terreno,2,Fiat,2018,Gasolina,Propia (del hogar),No,"10,5"
10132,1,Auto,1,Peugeot,2003,Gasolina,Propia (del hogar),No,"10,5"
10141,1,Auto,1,Chevrolet,2017,Gasolina,Propia (del hogar),No,"10,5"
10151,1,Auto,2,Audi,2000,Diesel,Propia (del hogar),No,"12,977"
10152,1,Camioneta o vehiculo todo terreno,1,Fiat,2016,Gasolina,Propia (del hogar),Si,"12,977"
10161,1,Auto,2,Chevrolet,2015,Gasolina,Propia (del hogar),Si,"12,977"
10172,1,Auto,1,Renault,2021,Gasolina,Propia (del hogar),Si,"12,977"
10172,2,Camioneta o vehiculo todo terreno,1,Toyota,2016,Diesel,Propia (del hogar),No,"12,977"
10181,1,Auto,1,Hyundai,1995,Diesel,Propia (del hogar),No,"16,35"
10182,1,Auto,1,Mazda,2013,Gasolina,Propia (del hogar),No,"16,35"
10191,1,Auto,2,Kia,2012,Diesel,Propia (del hogar),No,"16,35"
10192,1,Auto,1,Suzuki,2006,Gasolina,Propia (del hogar),No,"16,35"
10201,1,Auto,1,Subaru,1990,Gasolina,Propia (del hogar),No,"10,476"
10202,1,Auto,1,Mazda,2007,Gasolina,Propia (del hogar),No,"10,476"
10222,1,Camioneta o vehiculo todo terreno,1,Nissan,2008,Gasolina,Propia (del hogar),No,"10,5"
10222,2,Auto,1,Renault,2015,Gasolina,Propia (del hogar),Si,"10,5"
10231,1,Camioneta o vehiculo todo terreno,1,Renault,2019,Gasolina,Propia (del hogar),No,"10,5"
10231,2,Auto,3,Suzuki,1998,Gasolina,Propia (del hogar),No,"10,5"
