folio,ordenpersona,ordenviaje,proposito,propositovc,origenactividadcomuna,lugaractividadcomuna,actividadempresa,tipoasiento,modoetapa1,cuadrascaminadasdespues,minutoscaminadosdespues,horallegadahora,horallegadaminuto,horavolviosalirhora,horavolviosalirminuto,coord_origenviaje,zona_origenviaje,sector_origenviaje,horasalida,zona_destinoviaje,sector_destinoviaje,horallegada,tiempoviaje,periodo,numeroetapasviaje,horamediaviaje,modoagregado,propositoagregado,factorexpansionv
10011,3,1,Trabajo,No aplica,Puerto Natales,Puerto natales,Comercio,Desconocido,Enteramente a pie,7,12,10,2,13,0,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 9:50:00,4,Centro,30-12-1899 10:02:00,30-12-1899 0:12:00,Punta mañana (7:30-10-30),1,30-12-1899 9:56:00,Caminata,Trabajo,"8,531"
10011,3,2,Volver a casa,Trabajo,Puerto Natales,Puerto natales,,Desconocido,Enteramente a pie,7,15,13,15,14,50,"-51.726904, -72.5021146",4,3.Centro,30-12-1899 13:00:00,1,Borde Costero,30-12-1899 13:15:00,30-12-1899 0:15:00,Mediodia (11:30-14:00),1,30-12-1899 13:07:30,Caminata,Otros,"8,531"
10011,3,3,Trabajo,No aplica,Puerto Natales,Puerto natales,Comercio,Desconocido,Enteramente a pie,7,10,15,0,19,30,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 14:50:00,4,Centro,30-12-1899 15:00:00,30-12-1899 0:10:00,"Fuera de Punta (10:30-11:30, 14:00-18:00)",1,30-12-1899 14:55:00,Caminata,Trabajo,"8,531"
10011,3,4,Volver a casa,Trabajo,Puerto Natales,Puerto natales,,Desconocido,Enteramente a pie,7,10,19,40,99,99,"-51.726904, -72.5021146",4,3.Centro,30-12-1899 19:30:00,1,Borde Costero,30-12-1899 19:40:00,30-12-1899 0:10:00,Punta Tarde (18:00-20:00),1,30-12-1899 19:35:00,Caminata,Otros,"8,531"
10012,1,1,De compras,No aplica,Puerto Natales,Puerto natales,,Chofer,Auto,1,3,11,15,12,20,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 11:00:00,14,Centro,30-12-1899 11:15:00,30-12-1899 0:15:00,"Fuera de Punta (10:30-11:30, 14:00-18:00)",1,30-12-1899 11:07:30,Transporte privado,Otros,"3,879"
10012,1,2,Volver a casa,De compras,Puerto Natales,Puerto natales,,Chofer,Auto,1,3,12,30,99,99,"-51.7269644, -72.5013941",14,3.Centro,30-12-1899 12:20:00,1,Borde Costero,30-12-1899 12:30:00,30-12-1899 0:10:00,Mediodia (11:30-14:00),1,30-12-1899 12:25:00,Transporte privado,Otros,"3,879"
10021,1,1,Trabajo,No aplica,Puerto Natales,Puerto natales,Sector Publico,Chofer,Auto,0,1,7,55,13,0,"-51.72773,-72.50922",3,3.Centro,30-12-1899 7:40:00,14,Centro,30-12-1899 7:55:00,30-12-1899 0:15:00,Punta mañana (7:30-10-30),1,30-12-1899 7:47:30,Transporte privado,Trabajo,"7,638"
10021,1,2,Buscar o dejar a alguien,No aplica,Puerto Natales,Puerto natales,,Chofer,Auto,0,1,13,10,13,12,"-51.72655, -72.49956",14,3.Centro,30-12-1899 13:00:00,32,Residencial Sur,30-12-1899 13:10:00,30-12-1899 0:10:00,Mediodia (11:30-14:00),1,30-12-1899 13:05:00,Transporte privado,Otros,"7,638"
10021,1,3,Volver a casa,Buscar o dejar a alguien,Puerto Natales,Puerto natales,,Chofer,Auto,0,1,13,20,14,10,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 13:12:00,3,Centro,30-12-1899 13:20:00,30-12-1899 0:08:00,Mediodia (11:30-14:00),1,30-12-1899 13:16:00,Transporte privado,Otros,"7,638"
10021,1,4,Buscar o dejar a alguien,No aplica,Puerto Natales,Puerto natales,,Chofer,Auto,0,1,14,15,14,20,"-51.72773,-72.50922",3,3.Centro,30-12-1899 14:10:00,32,Residencial Sur,30-12-1899 14:15:00,30-12-1899 0:05:00,"Fuera de Punta (10:30-11:30, 14:00-18:00)",1,30-12-1899 14:12:30,Transporte privado,Otros,"7,638"
