Folio,OrdenPersona,OrdenViaje,OrdenEtapa,ModoEtapa,CuadrasCaminadasAntes,MinutosCaminadosAntes,TipoAsiento,OrdenVehiculoViaje,SituacionBicicleta,UsoHabitualBicicleta,UsoCiclovia,MotivoNoUsoCiclovia,TiempoEspera,VehiculosNoUso,NumeroVehiculoNoUso,LineaTransportePublico,PagoTarifaViaje,MontoTarifaViaje,LugarBajoVehiculo,LugarBajoVehiculoComuna,LugarBajoVehiculoCalle,LugarBajoVehiculoNumero,LugarBajoVehiculoInterCalle,LugarBajoVehiculoHito,Coord_LugarBajoVehiculo,Zona_LugarBajoVehiculo,Sector_LugarBajoVehiculo,DondeEstacionoVehiculo,LugarEstacionoVehiculo,LugarEstacionoVehiculoDir,MontoPagoEstacionamiento,TipoPagoEstacionamiento,LugarEstacionoBicicleta,FactorExpansionE,codDondeEstacionoVehiculo,codLugarBajoVehiculo,codLugarEstacionoBicicleta,codLugarEstacionoVehiculo,codModoEtapa,codMotivoNoUsoCiclovia,codPagoTarifaViaje,codSituacionBicicleta,codTipoAsiento,codTipoPagoEstacionamiento,codUsoClicloVia,codUsoHabitualBicicleta,codVehiculosNoUso
10011,3,1,1,13,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,null,null,,null,null,null,1,,,,,,,,,,,,,
10011,3,2,1,13,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,null,null,,null,null,null,1,,,,,,,,,,,,,
10011,3,3,1,13,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,null,null,,null,null,null,1,,,,,,,,,,,,,
10011,3,4,1,13,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,null,null,,null,null,null,1,,,,,,,,,,,,,
10012,1,1,1,1,0,1,1,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,2,5,ESMERALDA,0,null,null,1,,,,,,,,,,,,,
10012,1,2,1,1,0,1,1,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,1,1,,0,null,null,1,,,,,,,,,,,,,
10021,1,1,1,1,0,1,1,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,1,2,,0,null,null,1,,,,,,,,,,,,,
10021,1,2,1,1,0,1,1,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,3,null,,null,null,null,1,,,,,,,,,,,,,
10021,1,3,1,1,0,1,1,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,1,1,,0,null,null,1,,,,,,,,,,,,,
10021,1,4,1,1,0,1,1,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,3,null,,null,null,null,1,,,,,,,,,,,,,
10021,1,5,1,1,0,1,1,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,1,1,,0,null,null,1,,,,,,,,,,,,,
10021,1,6,1,1,0,1,1,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,3,null,,null,null,null,1,,,,,,,,,,,,,
10021,1,7,1,1,0,1,1,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,1,1,,0,null,null,1,,,,,,,,,,,,,
10021,1,8,1,1,0,1,1,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,3,null,,null,null,null,1,,,,,,,,,,,,,
10021,1,9,1,1,0,1,1,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,1,1,,0,null,null,1,,,,,,,,,,,,,
10021,1,10,1,1,0,1,1,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,3,null,,null,null,null,1,,,,,,,,,,,,,
10021,1,11,1,1,0,1,1,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,1,1,,0,null,null,1,,,,,,,,,,,,,
10021,3,1,1,1,0,1,2,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,3,null,,null,null,null,1,,,,,,,,,,,,,
10021,3,2,1,1,0,1,2,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,1,1,,0,null,null,1,,,,,,,,,,,,,
10021,3,3,1,1,0,1,2,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,3,null,,null,null,null,1,,,,,,,,,,,,,
10021,3,4,1,1,0,1,2,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,1,1,,0,null,null,1,,,,,,,,,,,,,
10021,3,5,1,1,0,1,2,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,3,null,,null,null,null,1,,,,,,,,,,,,,
10021,3,6,1,1,0,1,2,1,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,1,1,,0,null,null,1,,,,,,,,,,,,,
10022,4,1,1,13,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,null,null,,null,null,null,1,,,,,,,,,,,,,
10022,4,2,1,13,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,,,,,,null,null,null,null,null,,null,null,null,1,,,,,,,,,,,,,
