Folio,DireccionCalle,DireccionComuna,Zona_Hogar,Sector_Hogar,DiaEntrevista,MesEntrevista,HoraEntrevista,MinutoEntrevista,DiaRegistroViaje,MesRegistroViaje,TamanoFamiliar,TipoVivienda,TipoVivienda_e,SituacionVivienda,SituacionVivienda_e,Dividendo,Arriendo,AntiguedadViviendaAnos,AntiguedadViviendaMeses,HanVividoSiempreAqui,TipoViviendaAnterior,ComunaViviendaAnterior,ComunaViviendaAnterior_e,VisionBicicleta,IntegranteCapRed,CapRedTipo,CapRedSuficiencia,CuentasInternet,DisponibilidadVehiculo,NumeroVehiculos,DisponibilidadBicicleta,NumeroBicicletas,NumeroEstudiantes,NumeroViajes,ViajesCaminata,TramoVehiculo,TramoIngresoHogar,TipoDia,Zona,Sector,FactorExpansionH,codConexionInternet,codDisponibilidadVehiculo,codHanVividoSiempreAqui,codSituacionVivienda,codTipoVivienda,codTipoViviendaAnterior,codTramoIngresoHogar,codTramoVehiculo
10011,BARROS ARANA,NATALES,1,4.Borde Costero,15,6,18,50,16,6,3,1,,1,,null,null,73,0,1,null,null,,2,1,1,2,1,1,1,2,null,0,4,4,1,2,1,1,4.Borde Costero,"14,889",,,,,,,,
10012,CARLOS BORIES,NATALES,1,4.Borde Costero,15,6,18,30,16,6,1,1,,1,,null,null,11,3,1,null,null,,2,2,null,null,1,1,1,2,null,0,2,0,1,9,1,1,4.Borde Costero,"5,489",,,,,,,,
10021,TOMAS ROGERS,NATALES,3,3.Centro,15,6,14,0,16,6,3,1,,1,,null,null,3,3,1,null,null,,2,2,null,null,1,1,1,1,1,1,17,0,1,1,1,3,3.Centro,"7,85",,,,,,,,
10022,MAGALLANES,NATALES,3,3.Centro,18,6,14,0,19,6,4,1,,1,,null,null,20,0,1,null,null,,3,2,null,null,1,1,3,1,3,0,2,2,3,3,2,3,3.Centro,"16,558",,,,,,,,
10031,AVENIDA LIBERTAD,NATALES,7,1.Residencial Norte,17,5,20,0,18,5,5,1,,1,,null,null,6,2,1,null,null,,2,2,null,null,1,1,2,2,null,3,34,0,2,3,1,7,1.Residencial Norte,"24,803",,,,,,,,
10032,PASAJE 8,NATALES,7,1.Residencial Norte,18,5,20,0,19,5,2,1,,1,,null,null,19,0,1,null,null,,3,2,null,null,1,1,1,1,2,0,4,0,1,2,1,7,1.Residencial Norte,"8,51",,,,,,,,
10041,ALBERTO BARRIA,NATALES,7,1.Residencial Norte,6,8,13,0,7,8,5,1,,1,,null,null,10,2,1,null,null,,3,2,null,null,1,1,2,1,1,1,2,0,2,3,2,7,1.Residencial Norte,"24,803",,,,,,,,
10042,BRUNO CANOBRA,NATALES,7,1.Residencial Norte,16,5,16,50,17,5,3,1,,1,,null,null,0,2,1,null,null,,3,2,null,null,1,1,1,2,null,1,8,6,1,3,1,7,1.Residencial Norte,"14,933",,,,,,,,
10051,CARABINERO LUCERO,NATALES,8,1.Residencial Norte,17,5,17,0,18,5,2,1,,1,,null,null,40,1,1,null,null,,2,1,2,2,3,2,null,2,null,0,0,0,0,2,1,8,1.Residencial Norte,"8,51",,,,,,,,
10052,LIBERTAD,NATALES,8,1.Residencial Norte,18,5,18,50,19,5,1,1,,1,,null,null,50,3,1,null,null,,3,2,null,null,3,2,null,2,null,0,2,2,0,1,1,8,1.Residencial Norte,"7,185",,,,,,,,
