Folio,idZona,IdMacroZona,Zona,MacroZona,codIdMacroZona
10011,1,4,1,4.Borde Costero,
10012,1,4,1,4.Borde Costero,
10021,3,3,3,3.Centro,
10022,3,3,3,3.Centro,
10031,7,1,7,1.Residencial Norte,
10032,7,1,7,1.Residencial Norte,
10041,7,1,7,1.Residencial Norte,
10042,7,1,7,1.Residencial Norte,
10051,8,1,8,1.Residencial Norte,
10052,8,1,8,1.Residencial Norte,
10061,8,1,8,1.Residencial Norte,
10062,8,1,8,1.Residencial Norte,
10071,9,2,9,2.Residencial Central,
10072,9,2,9,2.Residencial Central,
10081,10,1,10,1.Residencial Norte,
10082,10,1,10,1.Residencial Norte,
10091,10,1,10,1.Residencial Norte,
10092,10,1,10,1.Residencial Norte,
10101,11,4,11,4.Borde Costero,
10102,11,4,11,4.Borde Costero,
10111,11,4,11,4.Borde Costero,
10112,11,4,11,4.Borde Costero,
10121,13,3,13,3.Centro,
10122,13,3,13,3.Centro,
10131,13,3,13,3.Centro,
10132,13,3,13,3.Centro,
10141,14,3,14,3.Centro,
10142,14,3,14,3.Centro,
10151,15,2,15,2.Residencial Central,
10152,15,2,15,2.Residencial Central,
10161,15,2,15,2.Residencial Central,
10162,15,2,15,2.Residencial Central,
10171,15,2,15,2.Residencial Central,
10172,15,2,15,2.Residencial Central,
10181,17,6,17,6.Residencial Oriente,
10182,17,6,17,6.Residencial Oriente,
10191,17,6,17,6.Residencial Oriente,
10192,17,6,17,6.Residencial Oriente,
10201,19,4,19,4.Borde Costero,
10202,19,4,19,4.Borde Costero,
10211,20,3,20,3.Centro,
10212,20,3,20,3.Centro,
10221,20,3,20,3.Centro,
10222,20,3,20,3.Centro,
10231,20,3,20,3.Centro,
10232,20,3,20,3.Centro,
10241,23,2,23,2.Residencial Central,
10242,23,2,23,2.Residencial Central,
10251,23,2,23,2.Residencial Central,
10252,23,2,23,2.Residencial Central,
10261,23,2,23,2.Residencial Central,
10262,23,2,23,2.Residencial Central,
10271,27,4,27,4.Borde Costero,
10272,27,4,27,4.Borde Costero,
10281,28,2,28,2.Residencial Central,
10282,28,2,28,2.Residencial Central,
10291,30,2,30,2.Residencial Central,
10292,30,2,30,2.Residencial Central,
10301,30,2,30,2.Residencial Central,
10302,30,2,30,2.Residencial Central,
10311,31,2,31,2.Residencial Central,
10312,31,2,31,2.Residencial Central,
10321,32,5,32,5.Residencial Sur,
10322,32,5,32,5.Residencial Sur,
10331,32,5,32,5.Residencial Sur,
10332,32,5,32,5.Residencial Sur,
10341,32,5,32,5.Residencial Sur,
10342,32,5,32,5.Residencial Sur,
10351,33,5,33,5.Residencial Sur,
10352,33,5,33,5.Residencial Sur,
10361,35,4,35,4.Borde Costero,
10362,35,4,35,4.Borde Costero,
10371,36,5,36,5.Residencial Sur,
10372,36,5,36,5.Residencial Sur,
10381,37,5,37,5.Residencial Sur,
10382,37,5,37,5.Residencial Sur,
10391,37,5,37,5.Residencial Sur,
10392,37,5,37,5.Residencial Sur,
10401,38,5,38,5.Residencial Sur,
10402,38,5,38,5.Residencial Sur,
10411,38,5,38,5.Residencial Sur,
10412,38,5,38,5.Residencial Sur,
10421,38,5,38,5.Residencial Sur,
10422,38,5,38,5.Residencial Sur,
10431,38,5,38,5.Residencial Sur,
10432,38,5,38,5.Residencial Sur,
10441,39,5,39,5.Residencial Sur,
10442,39,5,39,5.Residencial Sur,
10451,40,5,40,5.Residencial Sur,
10452,40,5,40,5.Residencial Sur,
10461,40,5,40,5.Residencial Sur,
10462,40,5,40,5.Residencial Sur,
10471,40,5,40,5.Residencial Sur,
10472,40,5,40,5.Residencial Sur,
10481,41,5,41,5.Residencial Sur,
10482,41,5,41,5.Residencial Sur,
10491,44,5,44,5.Residencial Sur,
10492,44,5,44,5.Residencial Sur,
10501,45,7,45,7.Residencial Perimetral Sur,
10502,45,7,45,7.Residencial Perimetral Sur,
10511,46,7,46,7.Residencial Perimetral Sur,
10512,46,7,46,7.Residencial Perimetral Sur,
10521,46,7,46,7.Residencial Perimetral Sur,
10522,46,7,46,7.Residencial Perimetral Sur,
10531,46,7,46,7.Residencial Perimetral Sur,
10532,46,7,46,7.Residencial Perimetral Sur,
10541,46,7,46,7.Residencial Perimetral Sur,
10542,46,7,46,7.Residencial Perimetral Sur,
10551,46,7,46,7.Residencial Perimetral Sur,
10552,46,7,46,7.Residencial Perimetral Sur,
10561,47,7,47,7.Residencial Perimetral Sur,
10562,47,7,47,7.Residencial Perimetral Sur,
10571,47,7,47,7.Residencial Perimetral Sur,
10572,47,7,47,7.Residencial Perimetral Sur,
10581,47,7,47,7.Residencial Perimetral Sur,
10582,47,7,47,7.Residencial Perimetral Sur,
10591,47,7,47,7.Residencial Perimetral Sur,
10592,47,7,47,7.Residencial Perimetral Sur,
10601,48,7,48,7.Residencial Perimetral Sur,
10602,48,7,48,7.Residencial Perimetral Sur,
10611,50,5,50,5.Residencial Sur,
10612,50,5,50,5.Residencial Sur,
10621,50,5,50,5.Residencial Sur,
10622,50,5,50,5.Residencial Sur,
10631,50,5,50,5.Residencial Sur,
10632,50,5,50,5.Residencial Sur,
10641,1,4,1,4.Borde Costero,
10642,1,4,1,4.Borde Costero,
10651,2,4,2,4.Borde Costero,
10652,2,4,2,4.Borde Costero,
10661,2,4,2,4.Borde Costero,
10662,2,4,2,4.Borde Costero,
10671,3,3,3,3.Centro,
10672,3,3,3,3.Centro,
10681,4,3,4,3.Centro,
10682,4,3,4,3.Centro,
10691,5,1,5,1.Residencial Norte,
10692,5,1,5,1.Residencial Norte,
10701,7,1,7,1.Residencial Norte,
10702,7,1,7,1.Residencial Norte,
10711,7,1,7,1.Residencial Norte,
10712,7,1,7,1.Residencial Norte,
10721,7,1,7,1.Residencial Norte,
10722,7,1,7,1.Residencial Norte,
10731,7,1,7,1.Residencial Norte,
10732,7,1,7,1.Residencial Norte,
10741,8,1,8,1.Residencial Norte,
10742,8,1,8,1.Residencial Norte,
10751,9,2,9,2.Residencial Central,
10752,9,2,9,2.Residencial Central,
