Folio,ordenpersona,DiaEntrevista,MesEntrevista,HoraEntrevista,MinutoEntrevista,Sexo,Parentesco,MesNacimiento,AgnoNacimiento,TenenciaLicenciaConducir,TenenciaTNE,TenenciaTarjetaAdultoMayor,EscolaridadCurso,EscolaridadNivel,EscolaridadTitulo,ActividadTrabaja,ActividadEstudia,ActividadJubilado,ActividadDuenaCasa,ActividadBuscaTrabajo1Vez,ActividadCesante,ActividadOtro,ActividadOtro_e,OcupacionPrincipal,ActividadEconomica,JornadaTrabajo,DondeEstudia,LugarTrabajoComuna,LugarTrabajoCalle,LugarTrabajoNumero,LugarTrabajoInterCalle,LugarTrabajoHito,Coord_LugarTrabajo,Zona_LugarTrabajo,Sector_LugarTrabajo,LugarEstudioComuna,LugarEstudioCalle,LugarEstudioNumero,LugarEstudioInterCalle,LugarEstudioHito,Coord_LugarEstudio,Zona_LugarEstudio,Sector_LugarEstudio,RealizoViaje,LugarDiaRegistroViaje,MotivoNoViaje,MotivoNoViaje_e,LugarComienzoDia,LugarInicioDiaComuna,LugarInicioDiaCalle,LugarInicioDiaNumero,LugarInicioDiaInterCalle,LugarInicioDiaHito,Coord_LugarInicioDia,Zona_LugarInicioDia,Sector_LugarInicioDia,HoraSalidaHora,HoraSalidaMinuto,NumeroViajes,ViajesCaminata,NumeroEtapas,FreqCaminata,FreqPrivado,FreqBus,FreqColectivo,FreqBicicleta,FreqAvion,ComprasComuna,ComprasComunaEsp,SaludComuna,SaludComunaEsp,UsoTIC,UsoTransPub,PercepcionIngresos,MontoIngresoPersonal,TramoIngresoPersonal,MontoGastoTransporte,ConocimientoCampana,CampanaDiario,CampanaRadio,CampanaTelevision,CampanaVolante,CampanaAfiche,CampanaPasacalle,CampanaPersonas,Edad,TramoEdad,IngresoPersonal,FactorExpansionP,codActividadBuscaTrabajo1Vez,codActividadCesante,codActividadDuenaCasa,codActividadEconomica,codActividadEstudia,codActividadJubilado,codActividadOtro,codActividadTrabaja,codCampanaAfiche,codCampanaDiario,codCampanaPasacalle,codCampanaPersonas,codCampanaRadio,codCampanaTelevision,codCampanaVolante,codConocimientoCampana,codDondeEstudia,codEscolaridadTitulo,codJornadaTrabajo,codLugarComienzoDia,codLugarDiaRegistroViaje,codMotivoNoViaje,codOcupacionPrincipal,codParentesco,codPercepcionIngresos,codRealizoViaje,codSexo,codTenenciaLicenciaConducir,codTenenciaTNE,codTenenciaTarjetaAdultoMayor,codTramoIngresoPersonal
10011,1,17,6,18,0,1,1,3,1935,1,2,2,8,2,null,0,0,1,0,0,0,0,,null,null,null,null,,,,,,null,null,null,,,,,,null,null,null,2,1,5,,null,,,,,,null,null,0,null,null,null,0,null,5,2,5,5,5,4,1,,1,,1,2,1,null,2,20000,2,0,0,0,0,0,0,0,87,6,272500,"6,988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011,2,17,6,18,10,2,2,8,1944,6,2,2,8,2,null,0,0,0,1,0,0,0,,null,null,null,null,,,,,,null,null,null,,,,,,null,null,null,2,1,5,,null,,,,,,null,null,0,null,null,null,0,null,5,2,5,5,5,4,1,,1,,1,2,1,null,1,5000,2,0,0,0,0,0,0,0,77,6,245000,"6,329",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10011,3,17,6,20,0,2,3,6,1971,2,2,null,2,4,1,1,0,0,0,0,0,0,,5,2,1,null,NATALES,MANUEL BULNES,674,BAQUEDANO Y B. ENCALADA,OPTICA DUBROCK,null,null,null,,,,,,null,null,null,1,null,null,,1,,,,,,null,null,0,9,50,4,4,4,1,1,5,5,3,4,1,,1,,1,2,1,null,5,30000,1,0,0,0,0,1,0,0,51,5,469500,"8,531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10012,1,17,6,17,0,2,1,1,1945,2,2,2,2,4,1,0,0,1,0,0,0,0,,null,null,null,null,,,,,,null,null,null,,,,,,null,null,null,1,null,null,,1,,,,,,null,null,0,11,0,2,0,2,1,1,5,5,5,3,1,,2,SANTIAGO,1,2,1,null,11,60000,2,0,0,0,0,0,0,0,77,6,null,"3,879",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021,1,17,6,20,30,2,1,5,1986,2,2,null,5,6,1,1,0,1,0,0,0,0,,3,7,2,null,NATALES,MANUEL BULNES,802,GALVARINO Y RAMIREZ,INSPECCION DEL TRABAJO,null,null,null,,,,,,null,null,null,1,null,null,,1,,,,,,null,null,0,7,40,11,0,11,1,1,5,5,3,4,1,,2,SANTIAGO,1,2,1,null,11,200000,1,0,0,0,0,1,1,0,36,5,null,"7,638",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021,2,17,6,20,40,2,4,9,1959,6,2,2,5,6,1,0,0,0,1,0,0,0,,null,null,null,null,,,,,,null,null,null,,,,,,null,null,null,2,1,3,,null,,,,,,null,null,0,null,null,null,0,null,2,2,5,3,5,4,1,,1,,1,2,1,null,11,20000,2,0,0,0,0,0,0,0,62,5,null,"4,367",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10021,3,17,6,20,50,1,4,10,2006,6,2,null,1,3,null,0,1,0,0,0,0,0,,null,null,null,4,,,,,,null,null,null,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO PTO. NATALES,null,null,null,1,null,null,,1,,,,,,null,null,0,7,40,6,0,6,1,1,5,2,2,4,1,,1,,1,2,2,null,null,5000,2,0,0,0,0,0,0,0,15,3,0,"7,179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022,1,20,6,18,0,1,1,2,1970,2,2,null,3,3,null,0,0,1,0,0,0,0,,null,null,null,null,,,,,,null,null,null,,,,,,null,null,null,2,1,4,,null,,,,,,null,null,0,null,null,null,0,null,1,1,5,5,5,4,1,,1,,1,2,1,null,11,30000,1,0,1,0,0,0,0,0,52,5,null,"9,21",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022,2,20,6,18,10,2,2,8,1964,2,2,null,3,3,null,0,0,0,1,0,0,0,,null,null,null,null,,,,,,null,null,null,,,,,,null,null,null,2,1,3,,null,,,,,,null,null,0,null,null,null,0,null,1,1,5,5,5,4,1,,1,,1,2,3,null,11,0,2,0,0,0,0,0,0,0,57,5,null,"8,339",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10022,3,20,6,18,20,1,3,9,1990,2,2,null,3,4,1,1,0,0,0,0,0,0,,3,7,1,null,NATALES,SARMIENTO,SN,LOS ALERCES Y 27 DE ABRIL,JARDIN INFANTIL LOS CONEJITO,null,null,null,,,,,,null,null,null,2,1,4,,null,,,,,,null,null,0,null,null,null,0,null,1,1,5,5,3,4,1,,1,,1,2,1,null,5,40000,2,0,0,0,0,0,0,0,31,5,469500,"49,285",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
