Folio,ordenvehiculo,TipoVehiculo,OrdenConductor,MarcaVehiculo,ModeloVehiculo,AnoVehiculo,CombustibleVehiculo,SituacionVehiculo,VehiculoTrabajo,FactorExpansionA,codSituacionVehiculo,codTipoVehiculo,codVehiculoTrabajo
10011,1,1,3,SUSUKI,EXPRESSO,2022,1,1,2,"10,476",,,
10012,1,1,1,SUBARU,XV,2018,1,1,2,"10,476",,,
10021,1,3,1,UAZ,PATRIOT,2021,1,1,2,"10,5",,,
10022,1,2,1,HYUNDAI,SANTA FE,2012,2,1,2,"10,5",,,
10022,2,1,3,HYUNDAI,VELOSTER,2013,1,1,2,"10,5",,,
10022,3,4,1,TOYOTA,HIACE,1992,1,1,2,"10,5",,,
10031,1,3,1,CHEVROLET,SILVERADO,2013,1,1,1,"11,122",,,
10031,2,1,2,HYUNDAI,TUCSON,2016,2,1,2,"11,122",,,
10032,1,1,1,HYUNDAY,SANTA FE,2003,2,1,1,"11,122",,,
10041,1,1,4,TOYOTA,VERSO,2014,1,1,2,"11,122",,,
10041,2,1,1,MG,ZS,2019,1,1,2,"11,122",,,
10042,1,1,1,MAZDA,DEMIO,2010,1,1,2,"11,122",,,
10061,1,1,1,KIA,SORRENTO,2004,2,1,2,"11,122",,,
10061,2,1,3,KIA,SORRENTO,2005,2,1,2,"11,122",,,
10081,1,1,1,CHEVROLET,CAPTIVA,2019,1,1,2,"11,122",,,
10091,1,3,2,FORD,RANGER,2011,2,1,1,"11,122",,,
10092,1,3,1,TATA,ZENON,2010,2,1,2,"11,122",,,
10101,1,1,1,CHEVROLET SPARK,SPARK,2011,1,1,2,"10,476",,,
10111,1,1,2,MERCEDES BENZ,CLK 320,2002,1,1,2,"10,476",,,
10111,2,3,1,CHEVROLET,S-10 APACHE,2008,1,1,2,"10,476",,,
10112,1,3,1,JAC,S2,2018,1,1,2,"10,476",,,
10121,1,3,2,CHERY,TIGGO,2019,1,1,2,"10,5",,,
10131,1,3,2,TOYOTA,4RUNNER,2021,1,1,2,"10,5",,,
10131,2,3,2,FIAT,STRADA,2018,1,1,2,"10,5",,,
10132,1,1,1,PEUGEOT,307,2003,1,1,2,"10,5",,,
10141,1,1,1,CHEVROLET,TRAVERS,2017,1,1,2,"10,5",,,
10151,1,1,2,AUDI,A3,2000,2,1,2,"12,977",,,
10152,1,3,1,FIAT,STRADA,2016,1,1,1,"12,977",,,
10161,1,1,2,CHEVROLET,SPARK,2015,1,1,1,"12,977",,,
10172,1,1,1,RENAULT,SYMBOL,2021,1,1,1,"12,977",,,
10172,2,3,1,TOYOTA,HILUX,2016,2,1,2,"12,977",,,
10181,1,1,1,HYUNDAI,SANTA FE,1995,2,1,2,"16,35",,,
10182,1,1,1,MAZDA,AXELA,2013,1,1,2,"16,35",,,
10191,1,1,2,KIA,SORENTO,2012,2,1,2,"16,35",,,
10192,1,1,1,SUZUKI,SWIFT,2006,1,1,2,"16,35",,,
10201,1,1,1,SUBARU,DUSTY,1990,1,1,2,"10,476",,,
10202,1,1,1,MAZDA,PREMACY,2007,1,1,2,"10,476",,,
10222,1,3,1,NISSAN,PATHFINTHER,2008,1,1,2,"10,5",,,
10222,2,1,1,RENAULT,SYMBOL,2015,1,1,1,"10,5",,,
10231,1,3,1,RENAUT,OROCH,2019,1,1,2,"10,5",,,
10231,2,1,3,SUSUKI,SAMURAI,1998,1,1,2,"10,5",,,
10232,1,3,2,HYUNDAI,TUCSON,2009,1,1,2,"10,5",,,
10241,1,3,2,CHEVROLET,SILVERADO,2021,1,1,1,"12,977",,,
10251,1,1,2,FORD,EXPEDISION,2000,1,1,2,"12,977",,,
10252,1,1,2,RENAULT,CLIO,2016,1,1,1,"12,977",,,
10291,1,1,2,VOLSVAGEN,GOLF,2010,1,2,1,"12,977",,,
10292,1,1,1,JACK,2P14,2014,1,1,1,"12,977",,,
10301,1,1,1,SUSUKI,SWIFT,2010,1,1,1,"12,977",,,
10302,1,4,1,SHANGAN,0,2010,1,1,2,"12,977",,,
10311,1,3,1,GREATWEALL,WINGLE,2019,2,1,2,"12,977",,,
10312,1,3,1,NISSAN,D21,2008,4,1,1,"12,977",,,
10312,2,1,1,ZOTIER,"1,3",2011,1,1,2,"12,977",,,
10322,1,3,2,FORD,ESCAPE,2006,1,1,2,"13,272",,,
10331,1,1,1,CHEVROLET,AVEO,2010,1,1,2,"13,272",,,
10332,1,1,1,MAZDA,AAA,2007,1,1,2,"13,272",,,
10332,2,3,2,CHEVROLET,CAPTIVA,2010,2,1,2,"13,272",,,
10341,1,3,1,CHEVROLET,S10,2011,1,1,2,"13,272",,,
10341,2,1,1,MAZDA,DEMIO,2019,1,1,2,"13,272",,,
10351,1,1,1,HYUNDAY,SANTA FE,2002,2,1,2,"13,272",,,
10352,1,1,1,CHEVROLET,CAPTIVA,2010,2,1,2,"13,272",,,
10361,1,1,1,CHEVROLET,SPARK,2015,1,1,2,"10,476",,,
10361,2,1,2,NISSAN,KASHKAI,2018,1,1,2,"10,476",,,
10371,1,1,1,FORD,EXPLORER,2014,1,1,1,"13,272",,,
10381,1,7,2,RENAULT,SYMBOL,2012,1,1,1,"13,272",,,
10391,1,3,1,NISSAN,TERRANO,2014,1,1,1,"13,272",,,
10392,1,1,1,TOYOTA,YARIS,2014,1,1,1,"13,272",,,
10401,1,1,2,SANGYONG,KORANDO,2011,2,1,2,"13,272",,,
10401,2,1,4,CHEVROLET,AVEO,2010,1,1,2,"13,272",,,
10402,1,1,1,HYUNDAI,ACCENT,2016,1,1,1,"13,272",,,
10402,2,3,1,GREAT WEAL,WINGLER,2015,2,1,2,"13,272",,,
10411,1,3,1,KIA,SPORTAGE,2011,2,1,2,"13,272",,,
10412,1,3,1,TOYOTA,HILUX,2011,2,1,2,"13,272",,,
10442,1,1,1,CHEVROLET,CUIZE,2011,1,1,2,"13,272",,,
10451,1,1,2,HYUNDAY,ELANTRA,1993,1,1,2,"13,272",,,
10451,2,4,2,TOYOTA,VAN,2017,2,1,2,"13,272",,,
10452,1,3,2,HYUNDAY,TERRANO,2007,2,1,2,"13,272",,,
10471,1,1,2,TOYOTA,YARIS,2014,1,1,2,"13,272",,,
10472,1,1,1,CHEVROLET,PRISMA,2018,1,1,2,"13,272",,,
10481,1,1,1,DOGE,DURANGO,2017,1,1,1,"13,272",,,
10481,2,1,2,MITSUBICHI,OUTLANDER,2018,1,1,2,"13,272",,,
10501,1,1,1,CHEVROLET,AVEO,2009,1,1,2,"19,511",,,
10511,1,1,1,CHEVROLET,ONIX,2019,1,1,2,"19,511",,,
10522,1,1,1,HONDA,HRV,2019,1,1,2,"19,511",,,
10542,1,1,2,CHEVROLET,CORSA,2006,1,1,2,"19,511",,,
10571,1,3,1,CHEVROLET,COLORADO,2020,2,1,1,"19,511",,,
10581,1,3,1,KIA,SPORTAGE,2021,2,1,1,"19,511",,,
10582,1,1,1,MAZDA,DEMIO,2011,1,1,2,"19,511",,,
10591,1,1,1,GREAT WALL,HAVAL,2009,1,1,2,"19,511",,,
10592,1,8,1,HYUNDAY,PORTER,2005,2,1,2,"19,511",,,
10601,1,1,1,MITSUBISHI,MIRAS,2015,1,1,2,"19,511",,,
10602,1,1,1,NISSAN,TERRACAN,2012,2,1,2,"19,511",,,
10602,2,1,2,SUSUKI,SWIFT,2014,1,1,2,"19,511",,,
10611,1,3,1,MITSUBISHI,L200,2005,2,1,2,"13,272",,,
10611,2,3,2,SANGYONG,KORANDO,2005,2,1,2,"13,272",,,
10612,1,3,1,NISSAN,TERRANO,2007,2,1,2,"13,272",,,
10622,1,1,1,HYUNDAY,TUCSON,2011,2,1,2,"13,272",,,
10631,1,1,1,CHEVROLET,CORSA,1998,1,1,2,"13,272",,,
10642,1,3,1,FORD,F-150,2012,1,1,2,"10,476",,,
10642,2,3,1,MAZDA,BT-50,2019,2,1,2,"10,476",,,
10651,1,1,1,RENAULT,DUSTER,2015,1,1,2,"10,476",,,
10652,1,1,3,CHEVROLET,AVEO,2010,1,1,2,"10,476",,,
10661,1,1,1,MERCEDES BENZ,GLA200,2019,1,1,2,"10,476",,,
10662,1,1,2,RANAULT,KOLEOS,2012,1,1,2,"10,476",,,
10662,2,3,1,CHEVROLET,SILVERADO,2016,2,1,2,"10,476",,,
10671,1,3,1,MAZDA,BT-50,2019,2,1,2,"10,5",,,
10671,2,1,2,MAZDA,DEMIO,2011,1,1,2,"10,5",,,
10671,3,1,3,MAZDA,DEMIO,2011,1,1,2,"10,5",,,
10682,1,3,3,CHEVROLET,LUV,1988,1,1,2,"10,5",,,
10691,1,3,1,MITSUBISHI,DELICA,1994,2,1,1,"11,122",,,
10692,1,1,2,HUYNDAI,ACCENT,1993,1,1,2,"11,122",,,
10692,2,1,1,PEUGEOT,206,2004,1,1,2,"11,122",,,
10702,1,1,7,CHERVROLET,SAMSUNG,2013,4,1,1,"11,122",,,
10711,1,1,1,CHEVROLET,CAPTIVA,2010,2,1,2,"11,122",,,
10722,1,1,1,CHEVROLET,AVEO,2010,1,1,2,"11,122",,,
10741,1,1,1,KIA,SPORTAGE,2006,1,1,2,"11,122",,,
10742,1,1,1,TOYOTA,YARIS,2010,2,1,1,"11,122",,,
10762,1,1,1,HYUNDAI,IONIQ,2016,1,1,2,"12,977",,,
10781,1,3,1,MAHINDRA,PIKUP,2019,2,1,2,"11,122",,,
10782,1,1,3,CHEVROLET,DIMACS,2007,2,1,1,"11,122",,,
10791,1,1,1,SUSUKI,SCROSS,2021,1,1,2,"10,5",,,
10792,1,1,1,MG,350,2005,1,1,1,"10,5",,,
10792,2,1,2,TOYOTA,RUSH,2012,1,1,2,"10,5",,,
10801,1,1,1,CHEVROLER,AVEO,2010,1,1,2,"10,5",,,
10802,1,1,1,CHEVROLET,AVEO,2010,1,1,1,"10,5",,,
10811,1,1,3,CHEVROLET,AVEO,2013,1,1,1,"10,5",,,
10811,2,6,1,CHEVROLET,N400,2019,1,1,1,"10,5",,,
10821,1,1,1,HYUNDAI,ELANTRA,2002,1,1,2,"10,5",,,
10842,1,3,3,TOYOTA,HYLUX,2013,1,1,2,"12,977",,,
