Folio,ordenpersona,ordenviaje,Proposito,PropositoVC,Proposito_e,OrigenActividadComuna,OrigenActividadCalle,OrigenActividadNumero,OrigenActividadInterCalle,OrigenActividadHito,LugarActividadComuna,LugarActividadCalle,LugarActividadNumero,LugarActividadInterCalle,LugarActividadHito,ActividadEmpresa,TipoAsiento,ModoEtapa1,ModoEtapa2,ModoEtapa3,ModoEtapa4,ModoEtapa5,CuadrasCaminadasDespues,MinutosCaminadosDespues,HoraLlegadaHora,HoraLlegadaMinuto,HoraVolvioSalirHora,HoraVolvioSalirMinuto,Coord_OrigenViaje,Zona_OrigenViaje,Sector_OrigenViaje,HoraSalida,Coord_DestinoViaje,Zona_DestinoViaje,Sector_DestinoViaje,HoraLlegada,TiempoViaje,Distancia,Periodo,NumeroEtapasViaje,HoraMediaViaje,ModoAgregado,PropositoAgregado,FactorExpansionV,codActividadEmpresa,codModoEtapa1,codModoEtapa2,codModoEtapa3,codModoEtapa4,codModoEtapa5,codPeriodo,codProposito
10011,3,1,1,null,,NATALES,BARROS ARANA,93,.,.,NATALES,MANUEL BULNES,674,BAQUEDANO Y B. ENCALADA,OPTICA DUBROCK,2,null,13,null,null,null,null,7,12,10,2,13,0,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 9:50:00,"-51.726904, -72.5021146",4,3.Centro,30-12-1899 10:02:00,30-12-1899 0:12:00,null,1,1,30-12-1899 9:56:00,1,1,"8,531",,,,,,,,
10011,3,2,7,1,,NATALES,MANUEL BULNES,674,BAQUEDANO Y B. ENCALADA,OPTICA DUBROCK,NATALES,BARROS ARANA,93,.,.,null,null,13,null,null,null,null,7,15,13,15,14,50,"-51.726904, -72.5021146",4,3.Centro,30-12-1899 13:00:00,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 13:15:00,30-12-1899 0:15:00,null,3,1,30-12-1899 13:07:30,1,3,"8,531",,,,,,,,
10011,3,3,1,null,,NATALES,BARROS ARANA,93,.,.,NATALES,MANUEL BULNES,674,BAQUEDANO Y B. ENCALADA,OPTICA DUBROCK,2,null,13,null,null,null,null,7,10,15,0,19,30,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 14:50:00,"-51.726904, -72.5021146",4,3.Centro,30-12-1899 15:00:00,30-12-1899 0:10:00,null,2,1,30-12-1899 14:55:00,1,1,"8,531",,,,,,,,
10011,3,4,7,1,,NATALES,MANUEL BULNES,674,BAQUEDANO Y B. ENCALADA,OPTICA DUBROCK,NATALES,BARROS ARANA,93,.,.,null,null,13,null,null,null,null,7,10,19,40,99,99,"-51.726904, -72.5021146",4,3.Centro,30-12-1899 19:30:00,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 19:40:00,30-12-1899 0:10:00,null,4,1,30-12-1899 19:35:00,1,3,"8,531",,,,,,,,
10012,1,1,11,null,,NATALES,CARLOS BORIES,148,.,.,NATALES,BAQUEDANO,SN,BULNES Y ESMERALDA,CENTRO,null,1,1,null,null,null,null,1,3,11,15,12,20,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 11:00:00,"-51.7269644, -72.5013941",14,3.Centro,30-12-1899 11:15:00,30-12-1899 0:15:00,null,2,1,30-12-1899 11:07:30,3,3,"3,879",,,,,,,,
10012,1,2,7,11,,NATALES,BAQUEDANO,SN,BULNES Y ESMERALDA,CENTRO,NATALES,CARLOS BORIES,148,.,.,null,1,1,null,null,null,null,1,3,12,30,99,99,"-51.7269644, -72.5013941",14,3.Centro,30-12-1899 12:20:00,"-51.72601,-72.51146",1,4.Borde Costero,30-12-1899 12:30:00,30-12-1899 0:10:00,null,3,1,30-12-1899 12:25:00,3,3,"3,879",,,,,,,,
10021,1,1,1,null,,NATALES,TOMAS ROGERS,255,.,.,NATALES,MANUEL BULNES,802,GALVARINO Y RAMIREZ,INSPECCION DEL TRABAJO,7,1,1,null,null,null,null,0,1,7,55,13,0,"-51.72773,-72.50922",3,3.Centro,30-12-1899 7:40:00,"-51.72655, -72.49956",14,3.Centro,30-12-1899 7:55:00,30-12-1899 0:15:00,null,1,1,30-12-1899 7:47:30,3,1,"7,638",,,,,,,,
10021,1,2,8,null,,NATALES,MANUEL BULNES,802,GALVARINO Y RAMIREZ,INSPECCION DEL TRABAJO,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,null,1,1,null,null,null,null,0,1,13,10,13,12,"-51.72655, -72.49956",14,3.Centro,30-12-1899 13:00:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 13:10:00,30-12-1899 0:10:00,null,3,1,30-12-1899 13:05:00,3,3,"7,638",,,,,,,,
10021,1,3,7,8,,NATALES,SIMON BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,NATALES,TOMAS ROGERS,255,.,.,null,1,1,null,null,null,null,0,1,13,20,14,10,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 13:12:00,"-51.72773,-72.50922",3,3.Centro,30-12-1899 13:20:00,30-12-1899 0:08:00,null,3,1,30-12-1899 13:16:00,3,3,"7,638",,,,,,,,
10021,1,4,8,null,,NATALES,TOMAS ROGERS,255,.,.,NATALES,S. BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,null,1,1,null,null,null,null,0,1,14,15,14,20,"-51.72773,-72.50922",3,3.Centro,30-12-1899 14:10:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 14:15:00,30-12-1899 0:05:00,null,2,1,30-12-1899 14:12:30,3,3,"7,638",,,,,,,,
10021,1,5,7,8,,NATALES,S. BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,NATALES,TOMAS ROGERS,255,.,.,null,1,1,null,null,null,null,0,1,15,0,17,15,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 14:20:00,"-51.72773,-72.50922",3,3.Centro,30-12-1899 15:00:00,30-12-1899 0:40:00,null,2,1,30-12-1899 14:40:00,3,3,"7,638",,,,,,,,
10021,1,6,8,null,,NATALES,TOMAS ROGERS,255,.,.,NATALES,S. BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,null,1,1,null,null,null,null,0,1,17,20,17,25,"-51.72773,-72.50922",3,3.Centro,30-12-1899 17:15:00,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 17:20:00,30-12-1899 0:05:00,null,2,1,30-12-1899 17:17:30,3,3,"7,638",,,,,,,,
10021,1,7,7,8,,NATALES,S. BOLIVAR,1463,OVEJERO Y D AGOSTINI,COLEGIO,NATALES,TOMAS ROGERS,255,.,.,null,1,1,null,null,null,null,0,1,17,30,19,0,"-51.72962, -72.48742",32,5.Residencial Sur,30-12-1899 17:25:00,"-51.72773,-72.50922",3,3.Centro,30-12-1899 17:30:00,30-12-1899 0:05:00,null,2,1,30-12-1899 17:27:30,3,3,"7,638",,,,,,,,
10021,1,8,8,null,,NATALES,TOMAS ROGERS,255,.,.,NATALES,AVDA. LIBERTAD,SN,PILAR BORQUEZ,POLIDEPORTIVP,null,1,1,null,null,null,null,0,1,19,10,19,12,"-51.72773,-72.50922",3,3.Centro,30-12-1899 19:00:00,"-51.7220607, -72.4941486",8,1.Residencial Norte,30-12-1899 19:10:00,30-12-1899 0:10:00,null,4,1,30-12-1899 19:05:00,3,3,"7,638",,,,,,,,
